"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"BB_N_PathOfTravelShape","44.564150524","-123.268810395",87,
"BB_N_PathOfTravelShape","44.564150550","-123.268810489",88,
"BB_N_PathOfTravelShape","44.564252458","-123.269197280",89,
"BB_N_PathOfTravelShape","44.564292190","-123.269341147",90,
"BB_N_PathOfTravelShape","44.564366326","-123.269636091",91,
"BB_N_PathOfTravelShape","44.564469081","-123.270041737",92,
"BB_N_PathOfTravelShape","44.564513394","-123.270210868",93,
"BB_N_PathOfTravelShape","44.564546170","-123.270346812",94,
"BB_N_PathOfTravelShape","44.564575552","-123.270477796",95,
"BB_N_PathOfTravelShape","44.564583454","-123.270522806",96,
"BB_N_PathOfTravelShape","44.564594296","-123.270594832",97,
"BB_N_PathOfTravelShape","44.564602984","-123.270667234",98,
"BB_N_PathOfTravelShape","44.564609605","-123.270740017",99,
"BB_N_PathOfTravelShape","44.564613987","-123.270813172",100,
"BB_N_PathOfTravelShape","44.564616213","-123.270886703",101,
"BB_N_PathOfTravelShape","44.564616299","-123.270960133",102,
"BB_N_PathOfTravelShape","44.564614243","-123.271033458",103,
"BB_N_PathOfTravelShape","44.564609456","-123.271323091",104,
"BB_N_PathOfTravelShape","44.564606423","-123.271656476",105,
"BB_N_PathOfTravelShape","44.564603829","-123.271975487",106,
"BB_N_PathOfTravelShape","44.564599400","-123.272236343",107,
"BB_N_PathOfTravelShape","44.564597246","-123.272495385",108,
"BB_N_PathOfTravelShape","44.564592397","-123.272776857",109,
"BB_N_PathOfTravelShape","44.564589573","-123.273077139",110,
"BB_N_PathOfTravelShape","44.564587389","-123.273358257",111,
"BB_N_PathOfTravelShape","44.564584445","-123.273624941",112,
"BB_N_PathOfTravelShape","44.564579571","-123.273896813",113,
"BB_N_PathOfTravelShape","44.564575164","-123.274097200",114,
"BB_N_PathOfTravelShape","44.564614686","-123.274077024",115,
"BB_N_PathOfTravelShape","44.564645360","-123.274057380",116,
"BB_N_PathOfTravelShape","44.564674183","-123.274036211",117,
"BB_N_PathOfTravelShape","44.564760953","-123.273964074",118,
"BB_N_PathOfTravelShape","44.564855733","-123.273873125",119,
"BB_N_PathOfTravelShape","44.564958695","-123.273777290",120,
"BB_N_PathOfTravelShape","44.565099068","-123.273631903",121,
"BB_N_PathOfTravelShape","44.565275545","-123.273451775",122,
"BB_N_PathOfTravelShape","44.565458307","-123.273277708",123,
"BB_N_PathOfTravelShape","44.565578785","-123.273160156",124,
"BB_N_PathOfTravelShape","44.565713133","-123.273036551",125,
"BB_N_PathOfTravelShape","44.565764645","-123.272989115",126,
"BB_N_PathOfTravelShape","44.565795484","-123.272963087",127,
"BB_N_PathOfTravelShape","44.565817371","-123.272944616",128,
"BB_N_PathOfTravelShape","44.565848525","-123.272920257",129,
"BB_N_PathOfTravelShape","44.565871152","-123.272902565",130,
"BB_N_PathOfTravelShape","44.565925891","-123.272863442",131,
"BB_N_PathOfTravelShape","44.565981683","-123.272826768",132,
"BB_N_PathOfTravelShape","44.566017813","-123.272804987",133,
"BB_N_PathOfTravelShape","44.566160331","-123.272725925",134,
"BB_N_PathOfTravelShape","44.566323733","-123.272641626",135,
"BB_N_PathOfTravelShape","44.566554842","-123.272524584",136,
"BB_N_PathOfTravelShape","44.566635757","-123.272484797",137,
"BB_N_PathOfTravelShape","44.566749543","-123.272433630",138,
"BB_N_PathOfTravelShape","44.566849702","-123.272389007",139,
"BB_N_PathOfTravelShape","44.566973756","-123.272324894",140,
"BB_N_PathOfTravelShape","44.567070867","-123.272278685",141,
"BB_N_PathOfTravelShape","44.567126488","-123.272252560",142,
"BB_N_PathOfTravelShape","44.567150741","-123.272239325",143,
"BB_N_PathOfTravelShape","44.567213812","-123.272210200",144,
"BB_N_PathOfTravelShape","44.567318381","-123.272643089",145,
"BB_N_PathOfTravelShape","44.567441475","-123.273152665",146,
"BB_N_PathOfTravelShape","44.567676075","-123.274088274",147,
"BB_N_PathOfTravelShape","44.567917892","-123.275065031",148,
"BB_N_PathOfTravelShape","44.568085854","-123.275779601",149,
"BB_N_PathOfTravelShape","44.568220821","-123.276353812",150,
"BB_N_PathOfTravelShape","44.568512637","-123.277619516",151,
"BB_N_PathOfTravelShape","44.568553087","-123.277844153",152,
"BB_N_PathOfTravelShape","44.568783198","-123.278901489",153,
"BB_N_PathOfTravelShape","44.568804738","-123.279009939",154,
"BB_N_PathOfTravelShape","44.568882778","-123.279402873",155,
"BB_N_PathOfTravelShape","44.569003298","-123.280009704",156,
"BB_N_PathOfTravelShape","44.569078478","-123.280105472",157,
"BB_N_PathOfTravelShape","44.569186135","-123.280237361",158,
"BB_N_PathOfTravelShape","44.569307968","-123.280389130",159,
"BB_N_PathOfTravelShape","44.569448844","-123.280568693",160,
"BB_N_PathOfTravelShape","44.569568763","-123.280714613",161,
"BB_N_PathOfTravelShape","44.569685755","-123.280857511",162,
"BB_N_PathOfTravelShape","44.569774437","-123.280972650",163,
"BB_N_PathOfTravelShape","44.569805364","-123.281012535",164,
"BB_N_PathOfTravelShape","44.569902330","-123.281125673",165,
"BB_N_PathOfTravelShape","44.570032032","-123.281278305",166,
"BB_N_PathOfTravelShape","44.570058927","-123.281314637",167,
"BB_N_PathOfTravelShape","44.570113122","-123.281388279",168,
"BB_N_PathOfTravelShape","44.570334116","-123.281652649",169,
"BB_N_PathOfTravelShape","44.570377651","-123.281704833",170,
"BB_N_PathOfTravelShape","44.570468027","-123.281810456",171,
"BB_N_PathOfTravelShape","44.570588801","-123.281956421",172,
"BB_N_PathOfTravelShape","44.570726521","-123.282124801",173,
"BB_N_PathOfTravelShape","44.570836085","-123.282259188",174,
"BB_N_PathOfTravelShape","44.571043446","-123.282513289",175,
"BB_N_PathOfTravelShape","44.571102597","-123.282592642",176,
"BB_N_PathOfTravelShape","44.571126588","-123.282624995",177,
"BB_N_PathOfTravelShape","44.571224239","-123.282738174",178,
"BB_N_PathOfTravelShape","44.571327069","-123.282867438",179,
"BB_N_PathOfTravelShape","44.571432538","-123.282993952",180,
"BB_N_PathOfTravelShape","44.571503293","-123.283079857",181,
"BB_N_PathOfTravelShape","44.571637669","-123.283239022",182,
"BB_N_PathOfTravelShape","44.571703580","-123.283317552",183,
"BB_N_PathOfTravelShape","44.571762660","-123.283394796",184,
"BB_N_PathOfTravelShape","44.571765490","-123.283165028",185,
"BB_N_PathOfTravelShape","44.571769888","-123.282272673",186,
"BB_N_PathOfTravelShape","44.571781273","-123.281258434",187,
"BB_N_PathOfTravelShape","44.571783855","-123.281159406",188,
"BB_N_PathOfTravelShape","44.571786801","-123.281054249",189,
"BB_N_PathOfTravelShape","44.571792442","-123.280655818",190,
"BB_N_PathOfTravelShape","44.571793391","-123.280490559",191,
"BB_N_PathOfTravelShape","44.571786784","-123.280135500",192,
"BB_N_PathOfTravelShape","44.571791750","-123.279568583",193,
"BB_N_PathOfTravelShape","44.571796410","-123.279036384",194,
"BB_N_PathOfTravelShape","44.571789394","-123.278944346",195,
"BB_N_PathOfTravelShape","44.571779130","-123.278864729",196,
"BB_N_PathOfTravelShape","44.571708975","-123.278320591",197,
"BB_N_PathOfTravelShape","44.571631703","-123.277695645",198,
"BB_N_PathOfTravelShape","44.571616271","-123.277566272",199,
"BB_N_PathOfTravelShape","44.571598784","-123.277398405",200,
"BB_N_PathOfTravelShape","44.571570937","-123.277198362",201,
"BB_N_PathOfTravelShape","44.571548688","-123.277042744",202,
"BB_N_PathOfTravelShape","44.571548671","-123.277042630",203,
"BB_N_PathOfTravelShape","44.571542096","-123.276996831",204,
"BB_N_PathOfTravelShape","44.571513453","-123.276745393",205,
"BB_N_PathOfTravelShape","44.571494348","-123.276576968",206,
"BB_N_PathOfTravelShape","44.571476004","-123.276422980",207,
"BB_N_PathOfTravelShape","44.571462749","-123.276320110",208,
"BB_N_PathOfTravelShape","44.571434249","-123.276104676",209,
"BB_N_PathOfTravelShape","44.571406561","-123.275894564",210,
"BB_N_PathOfTravelShape","44.571394286","-123.275786980",211,
"BB_N_PathOfTravelShape","44.571394281","-123.275786941",212,
"BB_N_PathOfTravelShape","44.571386394","-123.275716969",213,
"BB_N_PathOfTravelShape","44.571369209","-123.275575034",214,
"BB_N_PathOfTravelShape","44.571344937","-123.275379485",215,
"BB_N_PathOfTravelShape","44.571325374","-123.275233116",216,
"BB_N_PathOfTravelShape","44.571315050","-123.275175024",217,
"BB_N_PathOfTravelShape","44.571309888","-123.275151260",218,
"BB_N_PathOfTravelShape","44.571606925","-123.275159137",219,
"BB_N_PathOfTravelShape","44.571685931","-123.275160693",220,
"BB_N_PathOfTravelShape","44.571868020","-123.275160805",221,
"BB_N_PathOfTravelShape","44.572027920","-123.275159851",222,
"BB_N_PathOfTravelShape","44.572231658","-123.275161965",223,
"BB_N_PathOfTravelShape","44.572318928","-123.275163758",224,
"BB_N_PathOfTravelShape","44.572388991","-123.275164246",225,
"BB_N_PathOfTravelShape","44.572455408","-123.275166480",226,
"BB_N_PathOfTravelShape","44.572529452","-123.275169078",227,
"BB_N_PathOfTravelShape","44.572644564","-123.275172212",228,
"BB_N_PathOfTravelShape","44.572777091","-123.275175221",229,
"BB_N_PathOfTravelShape","44.572917231","-123.275179076",230,
"BB_N_PathOfTravelShape","44.573068458","-123.275182025",231,
"BB_N_PathOfTravelShape","44.573193201","-123.275184181",232,
"BB_N_PathOfTravelShape","44.573327528","-123.275187276",233,
"BB_N_PathOfTravelShape","44.573387886","-123.275188259",234,
"BB_N_PathOfTravelShape","44.573478228","-123.275190682",235,
"BB_N_PathOfTravelShape","44.573596084","-123.275193946",236,
"BB_N_PathOfTravelShape","44.573745745","-123.275197778",237,
"BB_N_PathOfTravelShape","44.573745798","-123.275197779",238,
"BB_N_PathOfTravelShape","44.573874013","-123.275199624",239,
"BB_N_PathOfTravelShape","44.574024542","-123.275203019",240,
"BB_N_PathOfTravelShape","44.574163666","-123.275206348",241,
"BB_N_PathOfTravelShape","44.574302140","-123.275208202",242,
"BB_N_PathOfTravelShape","44.574376829","-123.275208913",243,
