"service_id","date","exception_type"
"ThuFriSat_OSU","20140821",2
"MonTueWedThuFri_OSU","20140822",2
"ThuFriSat_OSU","20140822",2
"MonTueWedThuFri_OSU","20140823",2
"ThuFriSat_OSU","20140823",2
"MonTueWedThuFri_OSU","20140824",2
"ThuFriSat_OSU","20140824",2
"MonTueWedThuFri_OSU","20140825",2
"ThuFriSat_OSU","20140825",2
"MonTueWedThuFri_OSU","20140826",2
"ThuFriSat_OSU","20140826",2
"MonTueWedThuFri_OSU","20140827",2
"ThuFriSat_OSU","20140827",2
"MonTueWedThuFri_OSU","20140828",2
"ThuFriSat_OSU","20140828",2
"MonTueWedThuFri_OSU","20140829",2
"ThuFriSat_OSU","20140829",2
"MonTueWedThuFri_OSU","20140830",2
"ThuFriSat_OSU","20140830",2
"MonTueWedThuFri_OSU","20140831",2
"ThuFriSat_OSU","20140831",2
"MonTueWedThuFri_OSU","20140901",2
"ThuFriSat_OSU","20140901",2
"MonTueWedThuFri_OSU","20140902",2
"ThuFriSat_OSU","20140902",2
"MonTueWedThuFri_OSU","20140903",2
"ThuFriSat_OSU","20140903",2
"MonTueWedThuFri_OSU","20140904",2
"ThuFriSat_OSU","20140904",2
"MonTueWedThuFri_OSU","20140905",2
"ThuFriSat_OSU","20140905",2
"MonTueWedThuFri_OSU","20140906",2
"ThuFriSat_OSU","20140906",2
"MonTueWedThuFri_OSU","20140907",2
"ThuFriSat_OSU","20140907",2
"MonTueWedThuFri_OSU","20140908",2
"ThuFriSat_OSU","20140908",2
"MonTueWedThuFri_OSU","20140909",2
"ThuFriSat_OSU","20140909",2
"MonTueWedThuFri_OSU","20140910",2
"ThuFriSat_OSU","20140910",2
"MonTueWedThuFri_OSU","20140911",2
"ThuFriSat_OSU","20140911",2
"MonTueWedThuFri_OSU","20140912",2
"ThuFriSat_OSU","20140912",2
"MonTueWedThuFri_OSU","20140913",2
"ThuFriSat_OSU","20140913",2
"MonTueWedThuFri_OSU","20140914",2
"ThuFriSat_OSU","20140914",2
"MonTueWedThuFri_OSU","20140915",2
"ThuFriSat_OSU","20140915",2
"MonTueWedThuFri_OSU","20140916",2
"ThuFriSat_OSU","20140916",2
"MonTueWedThuFri_OSU","20140917",2
"ThuFriSat_OSU","20140917",2
"MonTueWedThuFri_OSU","20140918",2
"ThuFriSat_OSU","20140918",2
"MonTueWedThuFri_OSU","20140919",2
"ThuFriSat_OSU","20140919",2
"MonTueWedThuFri_OSU","20140920",2
"ThuFriSat_OSU","20140920",2
"MonTueWedThuFri_OSU","20140921",2
"ThuFriSat_OSU","20140921",2
"MonTueWedThuFri_OSU","20140922",2
"ThuFriSat_OSU","20140922",2
"MonTueWedThuFri","20130902",2
"MonTueWedThuFri_509J","20131127",2
"MonTueWedThuFri","20131128",2
"MonTueWedThuFri_509J","20131128",2
"MonTueWedThuFri_509J","20131129",2
"MonTueWedThuFri_OSU","20131214",2
"ThuFriSat_OSU","20131214",2
"MonTueWedThuFri_OSU","20131215",2
"ThuFriSat_OSU","20131215",2
"MonTueWedThuFri_OSU","20131216",2
"ThuFriSat_OSU","20131216",2
"MonTueWedThuFri_OSU","20131217",2
"ThuFriSat_OSU","20131217",2
"MonTueWedThuFri_OSU","20131218",2
"ThuFriSat_OSU","20131218",2
"MonTueWedThuFri_OSU","20131219",2
"ThuFriSat_OSU","20131219",2
"MonTueWedThuFri_OSU","20131220",2
"ThuFriSat_OSU","20131220",2
"MonTueWedThuFri_OSU","20131221",2
"ThuFriSat_OSU","20131221",2
"MonTueWedThuFri_OSU","20131222",2
"ThuFriSat_OSU","20131222",2
"MonTueWedThuFri_509J","20131223",2
"MonTueWedThuFri_OSU","20131223",2
"ThuFriSat_OSU","20131223",2
"MonTueWedThuFri_509J","20131224",2
"MonTueWedThuFri_OSU","20131224",2
"ThuFriSat_OSU","20131224",2
"MonTueWedThuFri","20131225",2
"MonTueWedThuFri_509J","20131225",2
"MonTueWedThuFri_OSU","20131225",2
"ThuFriSat_OSU","20131225",2
"MonTueWedThuFri_509J","20131226",2
"MonTueWedThuFri_OSU","20131226",2
"ThuFriSat_OSU","20131226",2
"MonTueWedThuFri_509J","20131227",2
"MonTueWedThuFri_OSU","20131227",2
"ThuFriSat_OSU","20131227",2
"MonTueWedThuFri_509J","20131228",2
"MonTueWedThuFri_OSU","20131228",2
"ThuFriSat_OSU","20131228",2
"MonTueWedThuFri_509J","20131229",2
"MonTueWedThuFri_OSU","20131229",2
"ThuFriSat_OSU","20131229",2
"MonTueWedThuFri_509J","20131230",2
"MonTueWedThuFri_OSU","20131230",2
"ThuFriSat_OSU","20131230",2
"MonTueWedThuFri_509J","20131231",2
"MonTueWedThuFri_OSU","20131231",2
"ThuFriSat_OSU","20131231",2
"MonTueWedThuFri","20140101",2
"MonTueWedThuFri_509J","20140101",2
"MonTueWedThuFri_OSU","20140101",2
"ThuFriSat_OSU","20140101",2
"MonTueWedThuFri_509J","20140102",2
"MonTueWedThuFri_OSU","20140102",2
"ThuFriSat_OSU","20140102",2
"MonTueWedThuFri_509J","20140103",2
"MonTueWedThuFri_OSU","20140103",2
"ThuFriSat_OSU","20140103",2
"MonTueWedThuFri_OSU","20140104",2
"ThuFriSat_OSU","20140104",2
"MonTueWedThuFri_OSU","20140105",2
"ThuFriSat_OSU","20140105",2
